loc x,lox y,split,wid,vddiddq,power,freq,psro,pw40,ps40,ivd0,ivd1,ivd2,ivd3,ivio,ivsb,ivsr,frq00,frq0,frq6,frq9,frq12,frq15,frq18,frq21,frq24,frq27,frq30,frq33,frq36,frw39,frq57,frq58,tstclass
9,2,3,6,3.720917463,23.66357613,1.119300407,8.934152029,49.27480698,9.416852714,2.471060038,2.106465578,2.214286089,1.991343737,0.37574321,0.020243885,7.547129631,9.065181672,8.648844116,8.74285314,9.140255656,9.01396534,9.479593302,8.838927755,8.974299021,9.000287108,9.207190871,8.648844116,8.900284158,8.521548992,8.802479258,15.95471974,25.52377578,2
10,9,3,6,4.366306305,29.0515976,1.163825267,8.592355126,59.70494843,9.052734257,3.177904606,2.685631037,2.865583658,2.299069643,0.431966603,0.020826103,9.259441376,8.74285314,8.335154817,8.613178181,8.567118897,8.875679967,9.292084584,8.431847945,8.497040128,8.521548992,8.814761955,8.232882877,8.431847945,8.319091208,8.521548992,15.03240344,24.42765282,2
12,7,5,8,7.502542973,45.19458008,1.265983726,7.898995694,94.21836853,8.330077947,6.869482994,6.192253113,6.267878532,5.582465649,0.675365269,0.028575901,6.955013752,8.098841747,7.702169143,7.905206644,7.898375841,7.996900123,8.292190316,7.776947172,7.937671384,7.930946438,8.057938956,7.660404535,7.814883759,7.633836731,7.827322747,12.55931926,21.04194459,1
2,9,3,6,4.761310101,30.74549103,1.14267491,8.751395442,63.50512695,9.246652055,2.917605639,4.568682194,2.054443598,2.622247934,0.406931222,0.026656155,9.286774635,9.273121279,8.466762907,9.16937843,8.387702394,9.018883517,8.851111247,8.441650493,8.875679967,8.875679967,8.802479258,8.466762907,8.215646531,8.838927755,8.74285314,15.30149882,23.22021521,2
9,4,5,3,5.281033993,31.14297867,1.191291454,8.39425144,,,4.18035841,3.447235584,4.494850636,3.41998148,0.534484208,0.022667171,6.05487299,8.556834729,8.232882877,8.091167416,8.659735713,8.521548992,9.140255656,8.387702394,8.266693826,8.378567131,8.74285314,8.098841747,8.232882877,7.930946438,8.215646531,12.81408353,24.32974594,1
8,5,5,8,7.209270001,42.73135376,1.189907151,8.404017066,91.11358643,8.869977669,5.720498562,5.133842945,6.356375694,5.441380024,0.646875918,0.028056625,7.259144306,8.648844116,8.309749219,8.378567131,8.613178181,8.431847945,8.875679967,8.344016294,8.257995845,8.422434462,8.684805451,8.198742719,8.257995845,8.050508484,8.148443627,12.81408353,25.31752489,1
3,5,5,9,8.94747448,51.80293655,1.234159828,8.102678251,103.5534973,8.537946392,8.006319046,6.751969338,6.950867653,6.530317307,0.82200563,0.031479124,7.898490429,8.309749219,7.930946438,8.065718035,8.207575931,8.140162976,8.556834729,8.010255797,8.00340726,8.098841747,8.344016294,7.853191676,7.984655667,7.898375841,8.00340726,12.55931926,21.47225024,1
9,3,3,6,3.605921507,23.57210159,1.092682881,9.1517861,47.04874802,9.635881502,2.262940645,1.873546839,2.30476594,1.987032175,0.370652705,0.018560173,7.893935204,9.330244524,8.937138347,8.875679967,9.575506084,9.07513386,9.869232258,9.11698271,9.07513386,9.216583294,9.423830676,8.838927755,9.121369942,8.62417231,8.937138347,15.66553377,26.8865644,2
11,3,5,9,9.497056961,56.38013077,1.2873564,7.76785667,127.6154251,8.232421689,8.363328934,7.274014473,8.744382858,7.21790123,0.863075614,0.031762365,8.079977989,7.88571073,7.561478441,7.486220454,7.930946438,7.739378034,8.207575931,7.782789794,7.77142489,7.859467701,8.043424401,7.556845134,7.734061924,7.490478552,7.665316616,12.66247574,21.3301895,1
8,10,3,6,3.961035252,26.65848732,1.130064592,8.8490517,50.79288864,9.292689014,2.636693239,2.249124765,2.557574511,2.25626874,0.400865138,0.020582201,8.900787354,9.000287108,8.466762907,8.937138347,8.875679967,9.184661693,9.462852432,8.671042423,8.779205757,8.779205757,9.140255656,8.466762907,8.682767572,8.556834729,8.779205757,15.07118245,25.21564312,2
7,2,5,9,7.097035885,40.87449265,1.227187061,8.148716944,87.10041046,8.613281095,6.145014763,4.877604008,5.653087139,4.826022625,0.686309397,0.02717543,6.847736359,8.300782994,8.010255797,8.00340726,8.378567131,8.207575931,8.592414204,8.065718035,8.091167416,8.098841747,8.300782994,7.859467701,8.132239799,7.937671384,8.057938956,12.60843564,22.51506356,1
2,8,3,4,4.168462277,27.1210022,1.137055936,8.794642098,51.77574539,9.271763912,3.109202862,2.448369265,2.731295824,2.06253171,0.425192416,0.020157339,8.491786957,8.918673288,8.521548992,8.754378214,8.684805451,8.974299021,9.391707891,8.682767572,8.74285314,8.838927755,9.037555302,8.466762907,8.684805451,8.556834729,8.778709727,15.15436915,25.32329989,2
6,3,3,6,3.309155464,20.85125732,1.032852967,9.681920196,39.07524872,10.19670806,1.817118883,1.705175638,1.822154284,1.737213373,0.336939126,0.018206121,7.196146488,9.992216633,9.632843813,9.553723999,9.849839984,9.650910386,10.29336718,9.53601878,9.53601878,9.809054689,10.01282044,9.391707891,9.53601878,9.24531534,9.407514341,16.28510336,31.27620829,2
2,4,3,2,2.606268406,15.89008236,0.999860464,10.00139555,26.22096252,10.55664063,1.386749387,1.239243627,1.328716397,1.302060247,0.287324697,0.016349318,5.501065254,10.26955886,9.768604144,9.971443234,10.16224127,9.869232258,10.70786527,9.88920425,9.909763719,10.05428078,10.22522986,9.731167467,9.848591873,9.748137785,9.748137785,16.90368532,30.06480688,2
2,5,3,2,2.617928505,15.89724827,0.999024394,10.00976559,26.66407967,10.58454192,1.342941403,1.257087827,1.354019284,1.269833684,0.287285358,0.015830042,5.526014328,10.31208331,9.88920425,10.05428078,10.13956467,10.13956467,10.58345322,9.82853453,9.869232258,10.01282044,10.31208331,9.709400899,9.728487243,9.649712155,9.848591873,16.63159492,31.26739836,2
6,7,5,3,5.694046974,34.51975632,1.208972872,8.271484192,,,5.188099384,4.247392178,4.556943417,3.758675098,0.550495207,0.024295811,6.43226862,8.501967727,7.984655667,8.215646531,8.292190316,8.486552559,8.937138347,8.124671325,8.173730066,8.266693826,8.521548992,7.937671384,8.083843909,8.010255797,8.207575931,13.13378726,22.80717251,1
